Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	turnover
66000	-613.8042	-504.1206	-109.6837	24.56341	0.03462454	0.08120226	0.1851723	0.02459773	4	28.08528	0.2663746	18.4103	11.139	10.3768	8.36849	17.1975	0.6951576
66500	-611.3231	-500.1969	-111.1261	26.68057	0.03153662	0.09536192	0.1003599	0.01591534	3	28.42185	0.1957218	17.6143	9.27468	11.5585	10.2243	19.9007	0.5127681
67000	-614.2796	-501.7442	-112.5354	27.71442	0.02916617	0.1115969	0.03375141	0.02350146	3	28.43311	0.1453483	16.1093	9.08012	8.23352	7.64649	18.4763	0.2322106
67500	-614.2396	-504.3712	-109.8684	26.16026	0.04446334	0.06584936	0.06464314	0.02758998	3	26.44179	0.1304925	16.4224	11.5369	8.93054	8.25983	18.5028	0.4953782
68000	-608.967	-505.91	-103.057	24.14208	0.05210693	0.09441883	0.05877801	0.06217955	4	24.76683	0.1531968	16.026	15.6017	15.6521	8.3089	18.4984	0.3836764
68500	-608.6974	-502.3569	-106.3405	22.79231	0.04042109	0.06653112	0.03996474	0.02256264	4	23.51441	0.1064959	17.7489	9.04438	8.89249	8.61468	15.7593	0.3752704
69000	-611.5285	-502.0426	-109.4859	24.78504	0.03679609	0.06712192	0.1037361	0.03040091	3	29.22312	0.1708581	19.0919	14.2343	13.5034	9.19626	15.3441	0.6071481
69500	-618.3163	-514.013	-104.3033	25.09245	0.05715387	0.1070482	0.03437316	0.06123149	4	26.48137	0.1414214	17.4524	7.21444	7.55552	7.24808	12.0641	0.2430549
70000	-607.9994	-502.2083	-105.7911	21.21891	0.05183376	0.1414793	0.07624957	0.03224207	3	28.99731	0.2177288	19.5932	12.2485	12.4473	7.84784	16.9447	0.3502043
70500	-612.7724	-508.1306	-104.6417	22.96868	0.041316	0.1589255	0.04233937	0.03472488	4	23.00776	0.2012649	18.4544	9.59378	12.125	8.14302	20.2632	0.2103664
71000	-608.1682	-504.7885	-103.3797	22.32253	0.04632921	0.1137554	0.05174206	0.05244849	4	24.22957	0.1654975	20.3102	12.0302	11.1831	9.51218	12.6766	0.3126456
71500	-611.3359	-502.5584	-108.7775	26.3084	0.03515158	0.04226104	0.06302573	0.02810393	4	28.20279	0.1052868	17.3522	9.50828	9.31653	8.74663	19.1475	0.5986102
72000	-614.2944	-501.2793	-113.0151	23.67444	0.03375972	0.04198181	0.2156721	0.02327672	2	24.90518	0.2576539	19.9798	10.5219	9.96306	10.9266	17.4962	0.8370612
